Date,Price (USD)
02/13/2024,49406.6
02/12/2024,49924.4
02/11/2024,48122.6
02/10/2024,48364.5
02/09/2024,47290.7
02/08/2024,45930.2
02/07/2024,44507.2
02/06/2024,42924.3
02/05/2024,42802.5
02/04/2024,42743.1
02/03/2024,42940.5
02/02/2024,43195.7
02/01/2024,42953.8
01/31/2024,42086.9
01/30/2024,42942.2
01/29/2024,43433.8
01/28/2024,42249
01/27/2024,42494.6
01/26/2024,41845.2
01/25/2024,40146
01/24/2024,39941.5
01/23/2024,39675.8
01/22/2024,40090.1
01/21/2024,41709.5
01/20/2024,41680.9
01/19/2024,41615.3
01/18/2024,41123.8
01/17/2024,42641.9
01/16/2024,42875
01/15/2024,42766
01/14/2024,42553.6
01/13/2024,42603.2
01/12/2024,42817.9
01/11/2024,45949.7
01/10/2024,46415.1
01/09/2024,46156.3
01/08/2024,46805.5
01/07/2024,43547.8
01/06/2024,44000
01/05/2024,43895.2
01/04/2024,43578.6
01/03/2024,43186
01/02/2024,45164.4
01/01/2024,45225
12/31/2023,42339.1
12/30/2023,42204.4
12/29/2023,42023
12/28/2023,42650.4
12/27/2023,43378.1
12/26/2023,42275.7
12/25/2023,43461.6
12/24/2023,43113.2
12/23/2023,43805.1
12/22/2023,43490.1
12/21/2023,44133.1
12/20/2023,43628
12/19/2023,42697.7
12/18/2023,42910.9
12/17/2023,41189.4
12/16/2023,42006.5
12/15/2023,42255.8
12/14/2023,42784.9
12/13/2023,42721.6
12/12/2023,40901.2
12/11/2023,41527.1
12/10/2023,42083.5
12/09/2023,43937.9
12/08/2023,44240.1
12/07/2023,43471.5
12/06/2023,43980.5
12/05/2023,41613.1
12/04/2023,41763
12/03/2023,40842.5
12/02/2023,39602.3
12/01/2023,38756.3
11/30/2023,38192.8
11/29/2023,37969.5
11/28/2023,37903.9
11/27/2023,37001.8
11/26/2023,37372.9
11/25/2023,37752.7
11/24/2023,37769.4
11/23/2023,37339.9
11/22/2023,37372.8
11/21/2023,36441.6
11/20/2023,37424.9
11/19/2023,37214.6
11/18/2023,36528
11/17/2023,36403.6
11/16/2023,36421.4
11/15/2023,37459.3
11/14/2023,35529.3
11/13/2023,36520.2
11/12/2023,36900.3
11/11/2023,36961.7
11/10/2023,37044.2
11/09/2023,36746.1
11/08/2023,36755.4
11/07/2023,35341
11/06/2023,34910.3
11/05/2023,34864.4
11/04/2023,35153.1
11/03/2023,34722.4
11/02/2023,34693.2
11/01/2023,35611.7
10/31/2023,34443
10/30/2023,34234.5
10/29/2023,34282.1
10/28/2023,34001.6
10/27/2023,34072.8
10/26/2023,34097.9
10/25/2023,34760.2
10/24/2023,33997.5
10/23/2023,34398.3
10/22/2023,30601
10/21/2023,29895.3
10/20/2023,29605.2
10/19/2023,29168.2
10/18/2023,28260
10/17/2023,28493.3
10/16/2023,28275.6
10/15/2023,27231.4
10/14/2023,26890.2
10/13/2023,26931.2
10/12/2023,26779.1
10/11/2023,26842
10/10/2023,27019.2
10/09/2023,27641.2
10/08/2023,27941.9
10/07/2023,28078.4
10/06/2023,27915.5
10/05/2023,27568.5
10/04/2023,27663.4
10/03/2023,27428.8
10/02/2023,27592.1
10/01/2023,28054.8
09/30/2023,27033.1
09/29/2023,26903.8
09/28/2023,26950.7
09/27/2023,26364
09/26/2023,26270.3
09/25/2023,26367.8
09/24/2023,26170.2
09/23/2023,26585.7
09/22/2023,26538.8
09/21/2023,26620.6
09/20/2023,27016.4
09/19/2023,27097.5
09/18/2023,26826.3
09/17/2023,26667.4
09/16/2023,26523.4
09/15/2023,26630.2
09/14/2023,26587.4
09/13/2023,26258.7
09/12/2023,25849.5
09/11/2023,25774.7
09/10/2023,25738.8
09/09/2023,25871.7
09/08/2023,25872.2
09/07/2023,26269.7
09/06/2023,25826.4
09/05/2023,25785.9
09/04/2023,25664.5
09/03/2023,26012.1
09/02/2023,25860.3
09/01/2023,25793.2
08/31/2023,26090.2
08/30/2023,27203.9
08/29/2023,27400.6
08/28/2023,26082.4
08/27/2023,26020.8
08/26/2023,26017.9
08/25/2023,26088.4
08/24/2023,26094.8
08/23/2023,26432.2
08/22/2023,26003.7
08/21/2023,26043.9
08/20/2023,26086.1
08/19/2023,26119.8
08/18/2023,25946.6
08/17/2023,26364.8
08/16/2023,28678.3
08/15/2023,29235.8
08/14/2023,29371.5
08/13/2023,29371.2
08/12/2023,29410.7
08/11/2023,29376.5
08/10/2023,29384.5
08/09/2023,29579.8
08/08/2023,29706.4
08/07/2023,29199.3
08/06/2023,29152.3
08/05/2023,29056.4
08/04/2023,29085.5
08/03/2023,29142.2
08/02/2023,29155.2
08/01/2023,29671.7
07/31/2023,28847.9
07/30/2023,29437.3
07/29/2023,29382.4
07/28/2023,29371.9
07/27/2023,29215.2
07/26/2023,29436.8
07/25/2023,29250.5
07/24/2023,29116.7
07/23/2023,29699
07/22/2023,29854.3
07/21/2023,29926
07/20/2023,29910.6
07/19/2023,29943.2
07/18/2023,30070.6
07/17/2023,30087.2
07/16/2023,30306.6
07/15/2023,30225.8
07/14/2023,30323.5
07/13/2023,31425.4
07/12/2023,30285.9
