Date,Price (USD)
02/13/2024,17600.42
02/12/2024,17882.66
02/09/2024,17962.41
02/08/2024,17783.17
02/07/2024,17755.07
02/06/2024,17572.73
02/05/2024,17613.04
02/02/2024,17642.73
02/01/2024,17344.71
01/31/2024,17137.24
01/30/2024,17476.71
01/29/2024,17596.27
01/26/2024,17421.01
01/25/2024,17516.99
01/24/2024,17499.3
01/23/2024,17404.21
01/22/2024,17330.38
01/19/2024,17314
01/18/2024,16982.29
01/17/2024,16736.28
01/16/2024,16830.71
01/12/2024,16832.92
01/11/2024,16820.9
01/10/2024,16793.05
01/09/2024,16678.7
01/08/2024,16649.87
01/05/2024,16305.98
01/04/2024,16282.01
01/03/2024,16368.49
01/02/2024,16543.94
12/29/2023,16825.93
12/28/2023,16898.47
12/27/2023,16906.8
12/26/2023,16878.46
12/22/2023,16777.4
12/21/2023,16757.41
12/20/2023,16554.16
12/19/2023,16811.85
12/18/2023,16729.8
12/15/2023,16623.45
12/14/2023,16537.83
12/13/2023,16562.37
12/12/2023,16354.25
12/11/2023,16221.73
12/08/2023,16084.69
12/07/2023,16022.49
12/06/2023,15788.05
12/05/2023,15877.71
12/04/2023,15839.67
12/01/2023,15997.58
11/30/2023,15947.87
11/29/2023,15987.6
11/28/2023,16010.43
11/27/2023,15961.98
11/24/2023,15982.01
11/22/2023,16001.39
11/21/2023,15933.62
11/20/2023,16027.06
11/17/2023,15837.99
11/16/2023,15833.17
11/15/2023,15817.18
11/14/2023,15812.47
11/13/2023,15482.79
11/10/2023,15529.12
11/09/2023,15187.9
11/08/2023,15313.24
11/07/2023,15296.02
11/06/2023,15154.93
11/03/2023,15099.49
11/02/2023,14919.55
11/01/2023,14664.91
10/31/2023,14409.78
10/30/2023,14335.51
10/27/2023,14180.42
10/26/2023,14109.57
10/25/2023,14381.64
10/24/2023,14745.85
10/23/2023,14604.85
10/20/2023,14560.88
10/19/2023,14783.13
10/18/2023,14909.26
10/17/2023,15122.01
10/16/2023,15172.73
10/13/2023,14995.12
10/12/2023,15184.1
10/11/2023,15241.12
10/10/2023,15131.52
10/09/2023,15047.15
10/06/2023,14973.24
10/05/2023,14723.22
10/04/2023,14776.25
10/03/2023,14565.62
10/02/2023,14837.57
09/29/2023,14715.24
09/28/2023,14702.77
09/27/2023,14580.16
09/26/2023,14545.83
09/25/2023,14768.9
09/22/2023,14701.1
09/21/2023,14694.24
09/20/2023,14969.92
09/19/2023,15191.23
09/18/2023,15225.37
09/15/2023,15202.4
09/14/2023,15473.89
09/13/2023,15348.53
09/12/2023,15289.74
09/11/2023,15461.87
09/08/2023,15280.23
09/07/2023,15258.52
09/06/2023,15371.44
09/05/2023,15508.24
09/01/2023,15490.86
08/31/2023,15501.07
08/30/2023,15462.43
08/29/2023,15376.55
08/28/2023,15052.46
08/25/2023,14941.83
08/24/2023,14816.44
08/23/2023,15148.06
08/22/2023,14908.96
08/21/2023,14936.69
08/18/2023,14694.84
08/17/2023,14715.81
08/16/2023,14876.47
08/15/2023,15037.65
08/14/2023,15205.59
08/11/2023,15028.07
08/10/2023,15128.84
08/09/2023,15101.71
08/08/2023,15273.05
08/07/2023,15407.85
08/04/2023,15274.92
08/03/2023,15353.54
08/02/2023,15370.74
08/01/2023,15718.01
07/31/2023,15757
07/28/2023,15750.93
07/27/2023,15464.93
07/26/2023,15499.26
07/25/2023,15561.42
07/24/2023,15448.02
07/21/2023,15425.67
07/20/2023,15466.09
07/19/2023,15826.35
07/18/2023,15841.35
07/17/2023,15713.28
07/14/2023,15565.6
07/13/2023,15571.98
07/12/2023,15307.23
07/11/2023,15119.06
07/10/2023,15045.64
07/07/2023,15036.85
07/06/2023,15089.45
07/05/2023,15203.78
07/03/2023,15208.69
06/30/2023,15179.21
06/29/2023,14939.95
06/28/2023,14964.57
06/27/2023,14945.91
06/26/2023,14689.02
06/23/2023,14891.48
06/22/2023,15042.32
06/21/2023,14867.45
06/20/2023,15070.15
06/16/2023,15083.92
06/15/2023,15185.48
06/14/2023,15005.69
06/13/2023,14900.85
06/12/2023,14784.3
06/09/2023,14528.36
06/08/2023,14484.54
06/07/2023,14303.29
06/06/2023,14558.09
06/05/2023,14556.5
06/02/2023,14546.64
06/01/2023,14441.51
05/31/2023,14254.09
05/30/2023,14354.99
05/26/2023,14298.41
05/25/2023,13938.53
05/24/2023,13604.48
05/23/2023,13672.54
05/22/2023,13849.74
05/19/2023,13803.49
05/18/2023,13834.62
05/17/2023,13589.26
05/16/2023,13426.01
05/15/2023,13413.51
05/12/2023,13340.18
05/11/2023,13389.78
05/10/2023,13347.83
05/09/2023,13201.11
05/08/2023,13291.64
05/05/2023,13259.13
05/04/2023,12982.48
05/03/2023,13030.21
05/02/2023,13113.66
05/01/2023,13231.47
04/28/2023,13245.99
04/27/2023,13160.03
04/26/2023,12806.48
04/25/2023,12725.11
04/24/2023,12969.76
04/21/2023,13000.77
04/20/2023,12985.98
04/19/2023,13088.71
04/18/2023,13091.79
04/17/2023,13087.71
04/14/2023,13079.52
04/13/2023,13109.39
04/12/2023,12848.35
04/11/2023,12964.15
04/10/2023,13051.23
04/06/2023,13062.6
04/05/2023,12967.2
04/04/2023,13100.07
04/03/2023,13148.35
