NUTS2_ID,EU_Payments,Region
AT11,1121671979.0,Burgenland
AT12,2732286523.0,Niederösterreich
AT13,589019627.0,Wien
AT21,1092829733.0,Kärnten
AT22,2376838182.0,Steiermark
AT31,2328864872.0,Oberösterreich
AT32,743444772.0,Salzburg
AT33,1057485101.0,Tirol
AT34,519874070.0,Vorarlberg
BE10,341685041.0,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
BE21,755959874.0,Prov. Antwerpen
BE22,633653837.0,Prov. Limburg
BE23,549089582.0,Prov. Oost-Vlaanderen
BE24,378909830.0,Prov. Vlaams-Brabant
BE25,515153982.0,Prov. West-Vlaanderen
BE31,522788426.0,Prov. Brabant Wallon
BE32,2522331677.0,Prov. Hainaut
BE33,883024277.0,Prov. Liège
BE34,292722426.0,Prov. Luxembourg
BE35,354626538.0,Prov. Namur
BG31,1849431975.0,Severozapaden
BG32,1975449562.0,Severen tsentralen
BG33,2056970197.0,Severoiztochen
BG34,2766689884.0,Yugoiztochen
BG41,4709060232.0,Yugozapaden
BG42,3319665407.0,Yuzhen tsentralen
CY00,1735529647.0,Kýpros
CZ01,3243913905.0,Praha
CZ02,6618513320.0,Střední Čechy
CZ03,6716970176.0,Jihozápad
CZ04,5622365151.0,Severozápad
CZ05,6713009514.0,Severovýchod
CZ06,8614115672.0,Jihovýchod
CZ07,6838606123.0,Střední Morava
CZ08,6580233844.0,Moravskoslezsko
DE11,1512588859.0,Stuttgart
DE12,1047915561.0,Karlsruhe
DE13,910374329.0,Freiburg
DE14,827875317.0,Tübingen
DE21,1856781043.0,Oberbayern
DE22,948131647.0,Niederbayern
DE23,868035202.0,Oberpfalz
DE24,849129319.0,Oberfranken
DE25,955349043.0,Mittelfranken
DE26,797254258.0,Unterfranken
DE27,1018298757.0,Schwaben
DE30,4886781864.0,Berlin
DE40,10320836101.0,Brandenburg
DE50,839461906.0,Bremen
DE60,667074723.0,Hamburg
DE71,1463147215.0,Darmstadt
DE72,617747831.0,Gießen
DE73,950986294.0,Kassel
DE80,9115007401.0,Mecklenburg-Vorpommern
DE91,1303133629.0,Braunschweig
DE92,1308146555.0,Hannover
DE93,2799563268.0,Lüneburg
DE94,1746468760.0,Weser-Ems
DEA1,2700690131.0,Düsseldorf
DEA2,2169346684.0,Köln
DEA3,1567766049.0,Münster
DEA4,1099682510.0,Detmold
DEA5,2305189256.0,Arnsberg
DEB1,761821914.0,Koblenz
DEB2,409473824.0,Trier
DEB3,1181345697.0,Rheinhessen-Pfalz
DEC0,999916436.0,Saarland
DED2,6538038158.0,Dresden
DED4,5664094477.0,Chemnitz
DED5,3889650251.0,Leipzig
DEE0,12168473458.0,Sachsen-Anhalt
DEF0,2041145851.0,Schleswig-Holstein
DEG0,10591060832.0,Thüringen
DK01,746352590.0,Hovedstaden
DK02,477775377.0,Sjælland
DK03,678936115.0,Syddanmark
DK04,683538346.0,Midtjylland
DK05,427159314.0,Nordjylland
EE00,8819496885.0,Eesti
EL11,1444226489.0,"Anatoliki Makedonia,Thraki"
EL12,4562615358.0,Kentriki Makedonia
EL13,583095951.0,Dytiki Makedonia
EL14,1604638575.0,Thessalia
EL21,829215345.0,Ipeiros
EL22,480982268.0,Ionia Nisia
EL23,1519935132.0,Dytiki Ellada
EL24,984884550.0,Sterea Ellada
EL25,1123472312.0,Peloponnisos
EL30,15955467255.0,Attiki
EL41,2459438235.0,Voreio Aigaio
EL42,2580890091.0,Notio Aigaio
EL43,5530559972.0,Kriti
EL51,7296393247.0,"Anatoliki Makedonia, Thraki"
EL52,9167000419.0,Kentriki Makedonia
EL53,2862749007.0,Dytiki Makedonia
EL54,3377354484.0,Ipeiros
EL61,6345559977.0,Thessalia
EL62,1798899905.0,Ionia Nisia
EL63,6005200584.0,Dytiki Ellada
EL64,4790992087.0,Sterea Ellada
EL65,5199395197.0,Peloponnisos
ES11,17116736422.0,Galicia
ES12,6511218844.0,Principado de Asturias
ES13,2712713416.0,Cantabria
ES21,4444688686.0,País Vasco
ES22,1224377123.0,Comunidad Foral de Navarra
ES23,876361830.0,La Rioja
ES24,5154190576.0,Aragón
