NUTS2_ID,EU_Payments,Region
AT11,3822.5829371611235,Burgenland
AT12,1628.7440332343392,Niederösterreich
AT13,310.42024810657864,Wien
AT21,1948.2149271132869,Kärnten
AT22,1912.0987553215796,Steiermark
AT31,1571.3330602964047,Oberösterreich
AT32,1339.0069395790144,Salzburg
AT33,1401.190002716293,Tirol
AT34,1318.4834528287054,Vorarlberg
BE10,281.1551489767874,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
BE21,406.3273656656651,Prov. Antwerpen
BE22,723.4796196117564,Prov. Limburg (BE)
BE23,362.1286936541529,Prov. Oost-Vlaanderen
BE24,330.45143955006046,Prov. Vlaams-Brabant
BE25,430.3727099946115,Prov. West-Vlaanderen
BE31,1293.1665124792837,Prov. Brabant Wallon
BE32,1873.8321120110068,Prov. Hainaut
BE33,795.4686352547772,Prov. Liège
BE34,1021.0594415473429,Prov. Luxembourg (BE)
BE35,713.6908054281522,Prov. Namur
BG31,2491.4751570785015,Severozapaden
BG32,2519.1662526397404,Severen tsentralen
BG33,2214.093330175935,Severoiztochen
BG34,2680.695842081856,Yugoiztochen
BG41,2240.0575738331895,Yugozapaden
BG42,2353.958599480375,Yuzhen tsentralen
CY00,1981.4266793317495,Kýpros
CZ01,2478.8587662536142,Praha
CZ02,4833.388338255441,Střední Čechy
CZ03,5475.173459514755,Jihozápad
CZ04,5039.384011616182,Severozápad
CZ05,4434.85535970636,Severovýchod
CZ06,5076.261149916231,Jihovýchod
CZ07,5626.569835109547,Střední Morava
CZ08,5468.494400809774,Moravskoslezsko
DE11,365.0582342886959,Stuttgart
DE12,373.5712550118016,Karlsruhe
DE13,402.02552077330273,Freiburg
DE14,445.9292950185751,Tübingen
DE21,396.2263034811209,Oberbayern
DE22,765.531055414169,Niederbayern
DE23,782.5290366899283,Oberpfalz
DE24,795.4507139230451,Oberfranken
DE25,539.6229684687255,Mittelfranken
DE26,605.2993173004212,Unterfranken
DE27,539.4234402363867,Schwaben
DE30,1340.7448981103626,Berlin
DE40,4108.7488563515435,Brandenburg
DE50,1229.1055834233791,Bremen
DE60,362.3084572439725,Hamburg
DE71,365.9035269751051,Darmstadt
DE72,589.8694223604026,Gießen
DE73,779.610069657647,Kassel
DE80,5662.638359296131,Mecklenburg-Vorpommern
DE91,816.2972276302371,Braunschweig
DE92,608.4954472614958,Hannover
DE93,1636.2968962788311,Lüneburg
DE94,691.5795897016354,Weser-Ems
DEA1,519.1317742599889,Düsseldorf
DEA2,485.4314802913645,Köln
DEA3,597.5585818672605,Münster
DEA4,535.0445966788465,Detmold
DEA5,643.4588098747885,Arnsberg
DEB1,509.2783964007928,Koblenz
DEB2,771.126979493679,Trier
DEB3,574.039480512665,Rheinhessen-Pfalz
DEC0,1009.4975775081297,Saarland
DED2,4090.878644023679,Dresden
DED4,3943.133553320872,Chemnitz
DED5,3728.2434090902557,Leipzig
DEE0,5510.282906334723,Sachsen-Anhalt
DEF0,704.642315494257,Schleswig-Holstein
DEG0,4941.831202275161,Thüringen
DK01,406.6071263188059,Hovedstaden
DK02,570.9975846680801,Sjælland
DK03,554.9819961286568,Syddanmark
DK04,517.5662394618522,Midtjylland
DK05,724.299605768497,Nordjylland
EE00,6657.128428767682,Eesti
EL11,2408.1559136468004,"Anatoliki Makedonia, Thraki"
EL12,2434.983115920411,Kentriki Makedonia
EL13,2183.814533646932,Dytiki Makedonia
EL14,2232.882354168986,Thessalia
EL21,2484.9424176495972,Ipeiros
EL22,2359.2712379027707,Ionia Nisia
EL23,2319.8422623090437,Dytiki Elláda
EL24,1771.50253615368,Sterea Elláda
EL25,1955.7458077072383,Peloponnisos
EL30,4263.619803406254,Attiki
EL41,11123.747094048793,Voreio Aigaio
EL42,7501.998654175399,Notio Aigaio
EL43,8710.50347597373,Kriti
EL51,0.0202864858842949,"Anatoliki Makedonia, Thraki"
EL52,0.0026109072461220533,Kentriki Makedonia
EL53,0.04015454648273275,Dytiki Makedonia
EL54,0.030330156033331248,Ipeiros
EL61,0.012287037393764633,Thessalia
EL62,0.04328173020372348,Ionia Nisia
