NUTS2_ID,EU_Payments,Region
AT11,527986388.0,Burgenland
AT12,1993360363.0,Niederösterreich
AT13,23286113.0,Wien
AT21,744184714.0,Kärnten
AT22,1695576276.0,Steiermark
AT31,1752015877.0,Oberösterreich
AT32,564899093.0,Salzburg
AT33,801565348.0,Tirol
AT34,329376801.0,Vorarlberg
BE10,1967488.0,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
BE21,169875384.0,Prov. Antwerpen
BE22,97289436.0,Prov. Limburg
BE23,165257209.0,Prov. Oost-Vlaanderen
BE24,104535498.0,Prov. Vlaams-Brabant
BE25,176236589.0,Prov. West-Vlaanderen
BE31,43752467.0,Prov. Brabant Wallon
BE32,210175451.0,Prov. Hainaut
BE33,98830663.0,Prov. Liège
BE34,50304938.0,Prov. Luxembourg
BE35,55859316.0,Prov. Namur
BG31,500085437.0,Severozapaden
BG32,629679124.0,Severen tsentralen
BG33,594782932.0,Severoiztochen
BG34,762678987.0,Yugoiztochen
BG41,837920916.0,Yugozapaden
BG42,873931764.0,Yuzhen tsentralen
CY00,286972183.0,Kýpros
CZ01,9932427.0,Praha
CZ02,791309302.0,Střední Čechy
CZ03,893189858.0,Jihozápad
CZ04,515011458.0,Severozápad
CZ05,854132952.0,Severovýchod
CZ06,1126585816.0,Jihovýchod
CZ07,751893181.0,Střední Morava
CZ08,555674460.0,Moravskoslezsko
DE11,696891608.0,Stuttgart
DE12,400454955.0,Karlsruhe
DE13,430872886.0,Freiburg
DE14,399439785.0,Tübingen
DE21,974794162.0,Oberbayern
DE22,422333449.0,Niederbayern
DE23,316560877.0,Oberpfalz
DE24,261361291.0,Oberfranken
DE25,368544618.0,Mittelfranken
DE26,297752757.0,Unterfranken
DE27,509839897.0,Schwaben
DE30,23026180.0,Berlin
DE40,2695925806.0,Brandenburg
DE50,6610648.0,Bremen
DE60,24773016.0,Hamburg
DE71,578642324.0,Darmstadt
DE72,178933069.0,Gießen
DE73,251313971.0,Kassel
DE80,2204866040.0,Mecklenburg-Vorpommern
DE91,282849185.0,Braunschweig
DE92,392335987.0,Hannover
DE93,1085404470.0,Lüneburg
DE94,678681502.0,Weser-Ems
DEA1,746549118.0,Düsseldorf
