NUTS2_ID,EU_Payments,Region
AT11,135208745.0,Burgenland
AT12,238957667.0,Niederösterreich
AT13,408957839.0,Wien
AT21,134454597.0,Kärnten
AT22,209750364.0,Steiermark
AT31,215426370.0,Oberösterreich
AT32,105277574.0,Salzburg
AT33,115746871.0,Tirol
AT34,113639096.0,Vorarlberg
BE10,199241045.0,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
BE21,362195025.0,Prov. Antwerpen
BE22,242093663.0,Prov. Limburg
BE23,293893584.0,Prov. Oost-Vlaanderen
BE24,214902375.0,Prov. Vlaams-Brabant
BE25,225524372.0,Prov. West-Vlaanderen
BE31,382605203.0,Prov. Brabant Wallon
BE32,657525074.0,Prov. Hainaut
BE33,258644701.0,Prov. Liège
BE34,79458252.0,Prov. Luxembourg
BE35,125382155.0,Prov. Namur
BG31,759000274.0,Severozapaden
BG32,697153193.0,Severen tsentralen
BG33,757440468.0,Severoiztochen
BG34,1146842949.0,Yugoiztochen
BG41,2132124364.0,Yugozapaden
BG42,1279065888.0,Yuzhen tsentralen
CY00,861776152.0,Kýpros
CZ01,1621878206.0,Praha
CZ02,2790495373.0,Střední Čechy
CZ03,3033218686.0,Jihozápad
CZ04,2620623694.0,Severozápad
CZ05,2594288439.0,Severovýchod
CZ06,3296755124.0,Jihovýchod
CZ07,3099994702.0,Střední Morava
CZ08,2966137226.0,Moravskoslezsko
DE11,556836514.0,Stuttgart
DE12,447788893.0,Karlsruhe
DE13,345726231.0,Freiburg
DE14,297958137.0,Tübingen
DE21,515665610.0,Oberbayern
DE22,237342857.0,Niederbayern
DE23,225622629.0,Oberpfalz
DE24,288501110.0,Oberfranken
DE25,353761346.0,Mittelfranken
DE26,280585715.0,Unterfranken
DE27,291883921.0,Schwaben
DE30,1474733893.0,Berlin
DE40,2192798173.0,Brandenburg
DE50,394834556.0,Bremen
DE60,520778814.0,Hamburg
DE71,598250959.0,Darmstadt
DE72,288881241.0,Gießen
DE73,327484144.0,Kassel
DE80,1949191914.0,Mecklenburg-Vorpommern
DE91,424652557.0,Braunschweig
DE92,480266534.0,Hannover
DE93,631493405.0,Lüneburg
DE94,463529808.0,Weser-Ems
DEA1,904271187.0,Düsseldorf
DEA2,733796184.0,Köln
DEA3,527029351.0,Münster
DEA4,456566396.0,Detmold
DEA5,761162709.0,Arnsberg
DEB1,299091560.0,Koblenz
DEB2,167035298.0,Trier
DEB3,376817130.0,Rheinhessen-Pfalz
DEC0,368014869.0,Saarland
DED2,1121753067.0,Dresden
DED4,1073980473.0,Chemnitz
DED5,928547766.0,Leipzig
DEE0,2548846521.0,Sachsen-Anhalt
DEF0,584047804.0,Schleswig-Holstein
DEG0,2479107353.0,Thüringen
DK01,287317733.0,Hovedstaden
DK02,174567649.0,Sjælland
DK03,193628439.0,Syddanmark
DK04,198430019.0,Midtjylland
DK05,142683702.0,Nordjylland
EE00,3522641053.0,Eesti
EL11,404439674.0,"Anatoliki Makedonia,Thraki"
EL12,1382495780.0,Kentriki Makedonia
EL13,147268596.0,Dytiki Makedonia
EL14,461581808.0,Thessalia
EL21,224072379.0,Ipeiros
EL22,125398651.0,Ionia Nisia
EL23,421679026.0,Dytiki Ellada
EL24,293192300.0,Sterea Ellada
EL25,327188772.0,Peloponnisos
EL30,4416446543.0,Attiki
EL41,653361025.0,Voreio Aigaio
EL42,884211685.0,Notio Aigaio
EL43,1280728914.0,Kriti
EL51,1030174993.0,"Anatoliki Makedonia, Thraki"
EL52,2533396269.0,Kentriki Makedonia
EL53,1106605344.0,Dytiki Makedonia
EL54,1345493198.0,Ipeiros
EL61,1555377256.0,Thessalia
EL62,542708506.0,Ionia Nisia
EL63,2166218993.0,Dytiki Ellada
EL64,1492919301.0,Sterea Ellada
EL65,1329397535.0,Peloponnisos
ES11,3716864342.0,Galicia
ES12,1997124319.0,Principado de Asturias
ES13,1045782231.0,Cantabria
ES21,1608994420.0,País Vasco
ES22,508630514.0,Comunidad Foral de Navarra
ES23,426114467.0,La Rioja
ES24,2896098338.0,Aragón
