NUTS2_ID,EU_Payments,Region
AT11,460.7823421360242,Burgenland
AT12,142.44511732046053,Niederösterreich
AT13,215.52557508836668,Wien
AT21,239.69557652436362,Kärnten
AT22,168.73820564224184,Steiermark
AT31,145.352605602205,Oberösterreich
AT32,189.61381864158596,Salzburg
AT33,153.36703877674057,Tirol
AT34,288.2068491517815,Vorarlberg
BE10,163.9452682075883,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
BE21,194.67931490429837,Prov. Antwerpen
BE22,276.4124842151895,Prov. Limburg (BE)
BE23,193.82502079097372,Prov. Oost-Vlaanderen
BE24,187.41873015402354,Prov. Vlaams-Brabant
BE25,188.4087836624213,Prov. West-Vlaanderen
BE31,946.4100798970985,Prov. Brabant Wallon
BE32,488.47326834472193,Prov. Hainaut
BE33,232.99897033334895,Prov. Liège
BE34,277.16222334618135,Prov. Luxembourg (BE)
BE35,252.33331857489873,Prov. Namur
BG31,1022.4925017243609,Severozapaden
BG32,889.0355038716193,Severen tsentralen
BG33,815.2980974882539,Severoiztochen
BG34,1111.1968647748863,Yugoiztochen
BG41,1014.2323721996665,Yugozapaden
BG42,906.979402204435,Yuzhen tsentralen
CY00,983.8761683710109,Kýpros
CZ01,1239.3692084558531,Praha
CZ02,2037.8515750745619,Střední Čechy
CZ03,2472.4538015414023,Jihozápad
CZ04,2348.892110228245,Severozápad
CZ05,1713.8801850837654,Severovýchod
CZ06,1942.7635515907741,Jihovýchod
CZ07,2550.5689851926877,Střední Morava
CZ08,2465.004313973501,Moravskoslezsko
DE11,134.39062001468352,Stuttgart
DE12,159.63219267277904,Karlsruhe
DE13,152.6743051019908,Freiburg
DE14,160.49308301512994,Tübingen
DE21,110.0400498232776,Oberbayern
DE22,191.63301677475195,Niederbayern
DE23,203.3975789461348,Oberpfalz
DE24,270.2632081852434,Oberfranken
DE25,199.8198973001032,Mittelfranken
DE26,213.02908078510453,Unterfranken
DE27,154.6196808482461,Schwaben
DE30,404.6102318738947,Berlin
DE40,872.9580527541316,Brandenburg
DE50,578.100511577104,Bremen
DE60,282.8507244542763,Hamburg
DE71,149.61046548849083,Darmstadt
DE72,275.84428824878586,Gießen
DE73,268.4685761786751,Kassel
DE80,1210.922648360694,Mecklenburg-Vorpommern
DE91,266.0070289577273,Braunschweig
DE92,223.40004512037137,Hannover
DE93,369.09710540681766,Lüneburg
DE94,183.5519545343129,Weser-Ems
DEA1,173.82072098203858,Düsseldorf
DEA2,164.20048047574977,Köln
DEA3,200.87876745823232,Münster
DEA4,222.13991855243248,Detmold
DEA5,212.46708901640392,Arnsberg
DEB1,199.9428833098801,Koblenz
DEB2,314.56326941076105,Trier
DEB3,183.10297324718942,Rheinhessen-Pfalz
DEC0,371.54116620848475,Saarland
DED2,701.8857269964503,Dresden
DED4,747.665572298278,Chemnitz
DED5,890.0162907256159,Leipzig
DEE0,1154.2010971231084,Sachsen-Anhalt
DEF0,201.62439483110506,Schleswig-Holstein
DEG0,1156.7613731222107,Thüringen
DK01,156.5284817401973,Hovedstaden
DK02,208.62880495447797,Sjælland
DK03,158.27748032448656,Syddanmark
DK04,150.24859882575464,Midtjylland
DK05,241.93724851845258,Nordjylland
EE00,2658.95823810027,Eesti
EL11,674.377460927795,"Anatoliki Makedonia, Thraki"
EL12,737.8123330577758,Kentriki Makedonia
EL13,551.551249400767,Dytiki Makedonia
EL14,642.2990760325058,Thessalia
EL21,671.48655962313,Ipeiros
EL22,615.0942566059578,Ionia Nisia
EL23,643.5990622553187,Dytiki Elláda
EL24,527.362220303619,Sterea Elláda
EL25,569.5717307253759,Peloponnisos
EL30,1180.162801908485,Attiki
EL41,2955.074333553447,Voreio Aigaio
EL42,2570.1810759039263,Notio Aigaio
EL43,2017.118287055266,Kriti
EL51,0.0028642412417177244,"Anatoliki Makedonia, Thraki"
EL52,0.0007215514752591475,Kentriki Makedonia
EL53,0.015521876215845443,Dytiki Makedonia
EL54,0.012083131584337967,Ipeiros
EL61,0.003011708749921571,Thessalia
EL62,0.01305762653645693,Ionia Nisia
EL63,0.005046254671752364,Dytiki Elláda
EL64,0.004830023461245273,Sterea Elláda
EL65,0.004028607322017574,Peloponnisos
ES11,1376.3916123329486,Galicia
ES12,1953.7414892316121,Principado de Asturias
ES13,1797.9857523799044,Cantabria
ES21,738.7892905026907,País Vasco
ES22,782.573496875125,Comunidad Foral de Navarra
ES23,1358.9090413335416,La Rioja
ES24,2193.040315435723,Aragón
ES30,745.4557893679718,Comunidad de Madrid
ES41,1555.1724028370256,Castilla y León
ES42,1763.9223500978192,Castilla-La Mancha
ES43,2285.7153142786347,Extremadura
ES51,846.3329342460138,Cataluña
ES52,916.4917735165787,Comunitat Valenciana
ES53,796.2127299658313,Illes Balears
ES61,1142.5390584646163,Andalucía
ES62,1072.1866148448944,Región de Murcia
ES63,9440.770267243513,Ciudad de Ceuta
ES64,7074.567688837984,Ciudad de Melilla
ES70,837.4154880531569,Canarias
FI19,286.7259088428403,Länsi-Suomi
FI1B,308.39890390562914,Helsinki-Uusimaa
FI1C,292.8039912589278,Etelä-Suomi
FI1D,578.8668761160732,Pohjois- ja Itä-Suomi
FI20,1027.7948235926012,Åland
FR10,148.76633441653118,Ile-de-France
FR21,368.0926713865453,Champagne-Ardenne
FR22,349.6826277777864,Picardie
FR23,336.68721510838225,Haute-Normandie
FR24,235.42501761036152,Centre — Val de Loire
FR25,314.70021904797596,Basse-Normandie
FR26,301.13471485360094,Bourgogne
FR30,220.3981101226812,Nord-Pas de Calais
FR41,287.0585708546115,Lorraine
FR42,226.504748782074,Alsace
FR43,329.8130683448778,Franche-Comté
FR51,207.05728107004938,Pays de la Loire
FR52,187.08492341210228,Bretagne
FR53,292.53412000862966,Poitou-Charentes
FR61,226.65178666187012,Aquitaine
FR62,209.28288609822079,Midi-Pyrénées
FR63,408.0866107162016,Limousin
FR71,165.3707520351418,Rhône-Alpes
FR72,347.47653951454726,Auvergne
FR81,308.9338505959852,Languedoc-Roussillon
FR82,244.8716318547343,Provence-Alpes-Côte d’Azur
FR83,596.6960579215558,Corse
FR91,888.466690318606,Guadeloupe
FR92,1172.999838095787,Martinique
FR93,994.0616149191619,Guyane
FR94,1572.3606982453969,La Réunion
HR02,0.00016497683326661017,
HR03,565.3040032138077,Jadranska Hrvatska
HR05,0.0002142385955092708,
HR06,0.00021646049284304683,
HU21,2500.295435044735,Közép-Dunántúl
HU22,2821.084331723174,Nyugat-Dunántúl
HU23,2350.14558160792,Dél-Dunántúl
HU31,2355.191788593345,Észak-Magyarország
HU32,3048.25862118873,Észak-Alföld
HU33,3045.4610472386653,Dél-Alföld
IE04,0.0015895238716146646,Northern and Western
ITC1,357.10000427393373,Piemonte
ITC2,860.6398812602962,Valle d’Aosta/Vallée d’Aoste
ITC3,347.61384297251107,Liguria
ITC4,204.96387972908948,Lombardia
ITF1,375.46461947725936,Abruzzo
ITF2,671.0085124592646,Molise
ITF3,556.3964030743389,Campania
ITF4,729.9768247135978,Puglia
ITF5,1282.3522709980718,Basilicata
ITF6,757.4993062314692,Calabria
ITG1,700.9489969335127,Sicilia
ITG2,684.780334435296,Sardegna
ITH1,393.78955447066164,Provincia Autonoma di Bolzano/Bozen
ITH2,456.719418598877,Provincia Autonoma di Trento
ITH3,272.6985061182208,Veneto
ITH4,386.8977391206645,Friuli-Venezia Giulia
ITH5,327.7648370775519,Emilia-Romagna
ITI1,317.7711444197417,Toscana
ITI2,416.4126986851984,Umbria
ITI3,296.57232913312384,Marche
ITI4,262.9306321274828,Lazio
LU00,225.72045011027961,Luxembourg
LV00,2252.7639788788147,Latvija
MT00,1463.2725651847095,Malta
NL11,423.535188958715,Groningen
NL12,276.8630093627639,Friesland (NL)
NL13,547.1966100937284,Drenthe
NL21,170.03703895865814,Overijssel
NL22,137.67062489261437,Gelderland
NL23,258.9423040912648,Flevoland
NL31,137.5694117124948,Utrecht
NL32,134.62684996875612,Noord-Holland
NL33,125.42668204130392,Zuid-Holland
NL34,460.7200155600576,Zeeland
NL41,117.14862429591882,Noord-Brabant
NL42,188.96163911777856,Limburg (NL)
PL11,2057.8598028589167,Łódzkie
PL21,1550.6998468998331,Małopolskie
PL22,1803.4903223391946,Śląskie
PL31,1696.5821739822838,Lubelskie
PL32,1954.263791652985,Podkarpackie
PL33,1863.6268235578102,Świętokrzyskie
PL34,1615.6135413176585,Podlaskie
PL41,1488.0915151913007,Wielkopolskie
PL42,2196.768834653734,Zachodniopomorskie
PL43,2291.751600203327,Lubuskie
PL51,2141.8059853295135,Dolnośląskie
PL52,1763.7198727746666,Opolskie
PL61,1744.7723185333698,Kujawsko-pomorskie
PL62,2237.181838895333,Warmińsko-mazurskie
PL63,2049.2152982308185,Pomorskie
PT11,3012.084318264964,Norte
PT15,4391.811773123337,Algarve
PT16,2772.802445581437,Centro (PT)
PT17,1620.263326976614,Área Metropolitana de Lisboa
PT18,5631.757088101967,Alentejo
PT20,6186.505377893809,Região Autónoma dos Açores
PT30,4157.285758727284,Região Autónoma da Madeira
RO11,793.0957947770318,Nord-Vest
RO12,1179.7447961240096,Centru
RO21,785.7657914614183,Nord-Est
RO22,1207.3794424521454,Sud-Est
RO31,881.6365791622181,Sud-Muntenia
RO32,765.2341526961484,Bucureşti-Ilfov
RO41,895.2421436949234,Sud-Vest Oltenia
