Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"62.165.155.56",80,43,5401,18,2536,25,2865
"62.183.170.50",80,14,3064,6,2132,8,932
"52.58.254.253",80,273,21490,84,9590,189,11900
"62.183.170.9",80,13,5782,7,5173,6,609
"216.58.210.131",80,84,8097,38,4255,46,3842
"62.183.170.33",80,67,29226,33,25944,34,3282
"108.156.16.76",80,160,16396,75,9471,85,6925
"172.64.149.23",80,32,3308,15,1932,17,1376
"192.229.221.95",80,312,41372,140,23408,172,17964
"18.165.121.158",80,20,4164,6,3152,14,1012
"13.33.241.167",80,35,6670,10,4781,25,1889
"18.192.94.96",80,60,4686,18,2055,42,2631
"2.21.200.181",80,60,9603,24,6225,36,3378
"62.183.170.26",80,13,5782,7,5173,6,609
"192.124.249.22",80,41,11525,20,9070,21,2455
"62.165.155.48",80,286,335933,230,331570,56,4363
"8.238.112.120",80,1520,393752,843,347720,677,46032
"35.156.224.161",80,60,4686,18,2055,42,2631
"87.248.205.0",80,25,3044,11,1414,14,1630
"216.58.209.195",80,10,1006,4,463,6,543
"13.107.138.254",443,34,10578,19,8521,15,2057
"204.79.197.254",443,30,10046,18,8463,12,1583
"52.247.12.246",443,25,9111,13,7476,12,1635
"204.79.197.222",443,56,20487,32,15596,24,4891
"34.36.232.77",443,3881,299026,1944,156951,1937,142075
"204.79.197.200",443,246,102483,141,70794,105,31689
"157.240.205.60",443,3416,382729,1715,200952,1701,181777
"34.120.52.64",443,3387,525112,2165,369911,1222,155201
"62.165.159.8",443,2327,1903232,1681,1837193,646,66039
"155.133.252.26",443,193,187469,143,183115,50,4354
"23.52.29.119",443,27,10227,16,8204,11,2023
"35.186.224.25",443,938,117782,432,63358,506,54424
"162.254.198.15",443,180,152947,122,146737,58,6210
"155.133.252.20",443,81,43897,48,40161,33,3736
"151.101.246.248",443,90349,117173589,77697,116275470,12652,898119
"20.199.120.85",443,133,10319,62,5523,71,4796
"52.184.213.187",443,348,85481,153,55158,195,30323
"52.98.179.178",443,1,60,1,60,0,0
"2.22.244.217",443,11,631,2,145,9,486
"52.182.143.210",443,1,60,1,60,0,0
"2001:14b8:1800:303::3ea5:9f38",443,2,172,0,0,2,172
"2600:1901:1:c36::",443,41,3526,0,0,41,3526
"62.165.159.56",443,269,227077,203,219876,66,7201
"2001:14b8:1800:303::3ea5:9f29",443,46,3956,0,0,46,3956
"62.165.159.41",443,2230,1963906,1674,1906286,556,57620
"34.107.243.93",443,377,67181,211,43312,166,23869
"35.186.227.140",443,6849,3276167,3695,414551,3154,2861616
"2600:1901:1:81::",443,36,3096,0,0,36,3096
"35.186.224.17",443,796,97844,365,50667,431,47177
"52.58.254.253",443,341,70870,153,52192,188,18678
"216.58.210.174",443,336,107787,171,74241,165,33546
"216.58.210.173",443,30,7791,14,5842,16,1949
"34.117.237.239",443,270,49758,128,28894,142,20864
"216.58.209.163",443,465,61217,267,39407,198,21810
"20.189.173.12",443,31,10029,15,5928,16,4101
"2001:14b8:1800:303::3ea5:9f08",443,55,4730,0,0,55,4730
"2a04:4e42:3a::760",443,30,2580,0,0,30,2580
"40.114.178.124",443,278,69504,159,51198,119,18306
"34.149.100.209",443,338,100734,181,83057,157,17677
"34.160.144.191",443,46,14254,25,12120,21,2134
"216.58.211.234",443,1070,257373,572,158140,498,99233
"34.120.208.123",443,685,152866,359,70700,326,82166
"62.165.155.56",443,216,66892,112,46360,104,20532
"62.165.155.75",443,77,23212,43,17082,34,6130
"34.110.207.168",443,185,39644,87,27276,98,12368
"40.114.177.156",443,105,28749,62,22050,43,6699
"18.165.122.69",443,1766,1790369,1405,1750931,361,39438
"151.101.130.137",443,65,41865,45,39403,20,2462
"104.18.131.236",443,120,68632,73,62480,47,6152
"151.101.246.208",443,296,133199,187,117034,109,16165
"23.32.24.220",443,36,10619,21,8511,15,2108
"52.85.113.207",443,2682,3045871,2097,2991200,585,54671
"172.67.74.220",443,33,7291,15,4945,18,2346
"93.184.220.66",443,149,136885,112,132381,37,4504
"172.67.75.153",443,75,20552,36,15152,39,5400
"104.244.42.8",443,32,8203,15,5856,17,2347
"162.55.83.113",443,774,195762,415,85356,359,110406
"13.68.233.9",443,29,15718,14,9788,15,5930
"108.156.24.82",443,619,545337,458,527381,161,17956
"18.165.142.76",443,73,25625,38,21176,35,4449
"18.165.142.162",443,2738,3246554,2367,3218056,371,28498
"104.244.42.72",443,34,5909,16,2907,18,3002
"104.26.10.19",443,3,198,2,132,1,66
"173.194.28.72",443,156,69908,83,51258,73,18650
"89.166.85.208",443,13,6511,7,5494,6,1017
"104.26.3.30",443,682,616716,528,601051,154,15665
"23.210.172.8",443,54,10655,28,7580,26,3075
"52.85.49.79",443,127,108424,89,104317,38,4107
"52.22.253.179",443,455,271826,281,234984,174,36842
"13.33.244.127",443,10480,13280986,9045,13161561,1435,119425
"151.101.246.110",443,381,397098,281,388449,100,8649
"20.105.95.163",443,20,11171,10,8522,10,2649
"20.141.12.34",443,38,9008,15,6863,23,2145
"13.107.213.254",443,34,10272,19,8527,15,1745
"13.33.244.4",443,45,11160,19,8865,26,2295
"18.165.140.79",443,167,178891,126,175245,41,3646
"216.58.209.195",443,706,77621,411,50058,295,27563
"162.159.137.232",443,52,18651,28,15941,24,2710
"151.101.245.91",443,37,13186,22,10553,15,2633
"162.159.135.232",443,39,11646,20,9450,19,2196
"162.159.134.234",443,9407,1144305,4811,873924,4596,270381
"13.33.244.35",443,60,36571,37,33937,23,2634
"162.159.136.232",443,110,24021,56,15453,54,8568
"2600:1901:1:304::",443,1,86,0,0,1,86
"34.111.115.192",443,2035,390622,1074,319020,961,71602
"162.159.135.233",443,64,10262,32,7330,32,2932
"2606:4700:7::a29f:89ea",443,2,172,0,0,2,172
"162.159.128.235",443,71,10065,36,6433,35,3632
"162.159.129.232",443,196,201873,160,198163,36,3710
"18.192.94.96",443,68,11244,30,7404,38,3840
"185.136.68.153",443,23,6487,13,4852,10,1635
"62.165.155.58",443,202,63693,107,44823,95,18870
"104.244.42.193",443,415,380901,306,348960,109,31941
"152.199.21.141",443,2691,3470647,2334,3440403,357,30244
"104.244.42.194",443,180,32709,90,16636,90,16073
"104.244.43.131",443,222,73365,131,62249,91,11116
"151.101.244.159",443,1762,1893308,1441,1862244,321,31064
"68.232.34.217",443,5815,7799547,5187,7758178,628,41369
"2620:1ec:c11::239",443,12,1032,0,0,12,1032
"13.107.21.239",443,325,125528,193,92374,132,33154
"20.190.177.85",443,39,32609,22,23967,17,8642
"2620:1ec:c11::200",443,8,688,0,0,8,688
"130.233.229.20",443,397,271814,245,233726,152,38088
"157.240.205.174",443,4359,2634395,2747,2147007,1612,487388
"157.240.205.63",443,3608,2756648,2517,2650154,1091,106494
"213.141.122.225",443,231,95558,134,78939,97,16619
"157.240.205.35",443,28,7704,14,5547,14,2157
"157.240.205.21",443,1960,581023,1034,81272,926,499751
"157.240.205.11",443,228,83686,126,69774,102,13912
