Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.1",53,5550,649433,2775,423093,2775,226340
"2001:14b8:1000::1",53,783,79930,0,0,783,79930
"2001:14b8:1000::2",53,43,4322,0,0,43,4322
"255.255.255.255",67,3,1056,0,0,3,1056
"0.0.0.0",68,3,1056,3,1056,0,0
"192.168.1.31",137,610,56120,0,0,610,56120
"23.32.24.220",443,110,83416,79,74468,31,8948
"34.107.141.31",443,74,40699,37,28108,37,12591
"34.110.207.168",443,499,228732,249,116454,250,112278
"34.117.14.220",443,57,29718,33,22438,24,7280
"34.117.138.150",443,581,463163,431,437035,150,26128
"34.120.195.249",443,18,6545,7,2586,11,3959
"34.120.214.181",443,27,11684,13,7041,14,4643
"35.186.224.17",443,7975,3226572,4029,1544280,3946,1682292
"35.186.224.25",443,4756,2006168,2326,783487,2430,1222681
"35.241.46.245",443,166,174039,135,167942,31,6097
"89.166.85.210",443,81,82561,63,77567,18,4994
"89.166.85.211",443,13,8302,8,6486,5,1816
"104.18.37.228",443,22,14453,13,8120,9,6333
"151.101.245.91",443,142966,195987704,140377,195694694,2589,293010
"151.101.245.229",443,20,18763,13,14030,7,4733
"157.240.205.11",443,315,184420,220,147394,95,37026
"157.240.205.35",443,192,106647,126,88312,66,18335
"157.240.205.60",443,184,111249,120,96318,64,14931
"157.240.205.63",443,989485,1197470641,946294,1192702865,43191,4767776
"157.240.205.174",443,516,328124,313,234303,203,93821
"157.240.247.63",443,13,7139,8,5315,5,1824
"162.159.128.233",443,312,220400,159,101165,153,119235
"162.159.135.232",443,1353,1294610,1074,1206871,279,87739
"162.159.135.233",443,45,21828,25,13880,20,7948
"162.159.136.232",443,1181,1312435,615,635722,566,676713
"162.159.137.232",443,166,71496,83,39034,83,32462
"162.159.138.232",443,22,12349,10,3599,12,8750
"172.66.47.32",443,39,18103,28,15706,11,2397
"204.79.197.200",443,8,10336,0,0,8,10336
"213.141.122.211",443,13,7348,8,5523,5,1825
"213.141.122.225",443,18695,21225972,17332,21002962,1363,223010
"213.141.122.228",443,1178,1211132,1027,1178933,151,32199
"216.58.209.161",443,38,31403,26,28021,12,3382
"216.58.209.163",443,245,114611,156,83689,89,30922
"216.58.209.164",443,50,48998,39,46280,11,2718
"216.58.209.170",443,700,162686,372,121945,328,40741
"216.58.209.173",443,62,32458,35,20841,27,11617
"216.58.209.174",443,589,560873,432,452664,157,108209
"216.58.209.195",443,60,21392,35,14656,25,6736
"216.58.209.202",443,123,66002,69,50829,54,15173
"216.58.209.206",443,1431,1542768,1165,1387483,266,155285
