#1 arg remaining, starting with 'capture.pcap'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#1535981 packets seen, 329738 TCP packets traced
#elapsed wallclock time: 0:00:03.244127, 473464 pkts/sec analyzed
#trace file elapsed time: 4:05:00.332918
#TCP connection info:
#1200 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

1,192.168.1.31,162.254.198.44,62815,27037,1700409423.113152 , 1700424121.337134 ,           2868,           2873,              0,              0,           2868,           2873,           2192,            665,              0,              0,              0,              0,              0,              0,          43322,         227579,            676,           2208,          43322,         227579,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            676,           2208,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,            228,           1453,             54,             78,             64,            103,           1026,           2053,           1020,           2047,              0,              0,           1023,           2049,             54,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,      14677.570,      14694.256,        27122.2,        27118.1,              0,              0,              3,             15,            675,           2203,            7.3,            0.0,           76.0,           63.8,           57.1,           47.6,            3.8,            5.4,            0.0,            0.0,              1,              1,            7.3,           44.5,            7.3,           44.5,            7.3,           44.5,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              5,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
2,192.168.1.31,13.107.138.254,63264,443,1700409424.350332 , 1700409551.879796 ,             15,             19,              0,              1,             14,             19,              8,              6,              0,              0,              0,              0,              0,              0,           1235,           7441,              6,             11,           1235,           7441,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              6,              7,            1/0,            1/0,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1440,            512,           1460,             38,             38,            205,            676,         262144,        4194048,         260864,        4193280,              0,              0,         261723,        3960632,            512,           1460,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.028,          0.033,           13.8,       127476.2,              0,              0,             10,             58,              7,              8,            6.8,            0.0,           13.7,            0.1,            8.5,            0.1,            2.7,            0.0,           11.0,            0.1,              1,              1,           11.0,            0.1,           11.0,            0.1,           11.0,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              4,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
3,192.168.1.31,204.79.197.254,63265,443,1700409424.413623 , 1700409552.679474 ,             12,             18,              0,              1,             11,             18,              5,              5,              0,              0,              0,              0,              0,              0,            923,           7443,              6,             11,            923,           7443,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              6,              7,            1/0,            1/0,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1440,            356,           1460,             38,             38,            153,            676,         262144,        4194304,         260864,        4193536,              0,              0,         261748,        3947158,            202,           6206,              1,              5,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.029,          0.034,           14.7,       128213.3,              0,              0,              7,             58,              6,              5,            7.7,            0.1,           14.6,            0.1,            9.3,            0.1,            2.6,            0.0,            8.0,            0.1,              1,              1,            8.0,            0.1,            8.0,            0.1,            8.0,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              7,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
4,192.168.1.31,52.247.12.246,63266,443,1700409424.501468 , 1700409553.716410 ,             12,             13,              0,              1,             11,             13,              5,              2,              0,              0,              0,              0,              0,              0,            975,           6744,              6,              9,            975,           6744,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              6,              5,            1/0,            1/0,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1440,            371,           1460,             38,             51,            162,            749,         262144,        4194304,         261376,        4193536,              0,              0,         261888,        3844437,            238,           6045,              1,              5,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.353,          0.350,          117.7,       128629.9,              0,              0,              8,             52,              6,              5,          112.5,            0.1,          166.3,            0.1,          123.7,            0.1,           21.0,            0.0,          117.6,            0.1,              1,              1,          117.6,            0.1,          117.6,            0.1,          117.6,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              5,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
5,192.168.1.31,204.79.197.222,63267,443,1700409425.176076 , 1700409546.311205 ,             12,             16,              0,              1,             11,             16,              6,              5,              0,              0,              0,              0,              0,              0,           1853,           6886,              5,              9,           1853,           6886,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              5,            1/0,            1/0,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1440,           1064,           1460,             38,             38,            370,            765,         262144,        4194560,         261376,        4193792,              0,              0,         261864,        3914598,            506,           6206,              1,              5,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.028,          0.015,           14.7,       121089.1,              0,              0,             15,             57,              6,              6,            6.9,            0.0,            9.6,            0.1,            7.7,            0.0,            0.9,            0.0,            7.5,            0.1,              1,              1,            7.5,            0.1,            7.5,            0.1,            7.5,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              4,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
6,192.168.1.31,34.36.232.77,62416,443,1700409426.24185 , 1700424093.138536 ,            950,            956,              0,              0,            950,            956,            480,            470,              0,              0,              0,              0,              0,              0,          16450,          24441,            470,            486,          16450,          24441,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            470,            486,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,             35,           1412,             35,             31,             34,             50,           1025,            267,           1020,            267,              0,              0,           1022,            267,             35,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,      14667.037,      14667.036,        61934.0,        61998.6,              0,              0,              1,              2,            470,            480,            1.6,            0.0,           20.8,           55.8,            7.6,           45.4,            1.8,            3.6,            0.0,            0.0,            470,              1,            1.6,            0.1,           20.8,            0.1,            7.6,            0.1,            1.8,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              6,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
7,192.168.1.31,204.79.197.200,63251,443,1700409426.88938 , 1700409550.355154 ,              8,              9,              0,              1,              8,              9,              2,              6,              0,              0,              0,              0,              0,              0,           6327,            190,              6,              2,           6327,            190,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              2,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,           1440,            148,             38,             42,           1054,             94,           1022,          16385,           1022,          16379,              0,              0,           1022,          14561,           6327,              0,              6,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.028,           28.1,       124210.0,              0,              0,             51,              2,              6,              2,           28.0,            0.0,           28.3,            0.1,           28.2,            0.0,            0.1,            0.0,            0.0,            0.0,              3,              1,           28.2,            0.0,           28.2,            0.0,           28.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
8,192.168.1.31,157.240.205.60,62538,443,1700409426.630534 , 1700424109.16989 ,           1659,           1682,              0,              0,           1659,           1682,            821,            828,              0,              0,              0,              0,              0,              0,          82008,          97693,            838,            854,          82008,          97693,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            832,            847,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,           1392,           1392,             30,             35,             97,            114,           1027,           1228,           1022,            869,              0,              0,           1024,           1053,             70,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,      14682.296,      14682.296,        34008.8,        34054.0,              0,              0,              6,              7,            837,            834,            1.0,            0.0,           54.2,           57.5,            3.5,           44.5,            7.6,            8.5,            0.0,            0.0,              6,              1,            1.6,            0.1,            1.7,            0.1,            1.7,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              1,             20,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
9,34.120.52.64,192.168.1.31,443,62570,1700409430.239281 , 1700424121.254006 ,           1408,            758,              0,              0,           1408,            758,            670,             88,              0,              0,              0,              0,              0,              0,          33515,          35765,            738,            670,          33515,          35765,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            738,            670,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,           1412,            478,             27,             31,             45,             53,           1435,           1025,           1045,           1020,              0,              0,           1347,           1022,             27,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,      14691.012,      14691.012,        25129.1,        25172.0,              0,              0,              2,              2,            671,            670,            0.0,            1.2,           55.2,           28.7,            2.8,            1.9,            8.5,            1.9,            0.0,            0.0,              1,              1,           53.8,            1.5,           53.8,            1.5,           53.8,            1.5,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,             67,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
