Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"192.168.1.177",56144,"192.229.221.95",80,21,1251,0,0,0,11,603,10,648,0,85.771231,56,60
"192.168.1.177",55971,"35.186.224.17",443,5505,1122163,1,0,0,2152,343809,3353,778354,0.418854,3049.12229,902,2042
"192.168.1.177",56165,"216.58.211.227",80,13,767,2,0,0,7,383,6,384,0.51219,45.073396,67,68
"192.168.1.177",56146,"62.183.170.50",80,39,3636,3,0,0,20,1530,19,2106,0.79399,157.117844,77,107
"40.101.1.15",443,"192.168.1.177",56111,1,54,4,0,0,1,54,0,0,1.209363,0,"",""
"216.58.210.138",443,"192.168.1.177",55945,1894,195976,5,0,0,1112,123975,782,72001,1.604885,3562.715232,278,161
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56245,"2606:4700:20::ac43:4b27",443,5,430,6,0,0,5,430,0,0,2.572279,15.024285999999998,228,0
"192.168.1.177",49819,"35.186.224.41",443,800,56400,7,0,0,400,28600,400,27800,2.587873,6169.101358,37,36
"192.168.1.177",56214,"157.240.205.60",443,20,2901,8,0,0,12,1277,8,1624,2.8005079999999998,196.172282,52,66
"192.168.1.177",55686,"35.186.224.25",443,196,52436,9,0,0,83,10074,113,42362,2.884905,512.312481,157,661
"192.168.1.177",56186,"108.156.15.108",80,13,767,10,0,0,7,383,6,384,2.930922,45.751830999999996,66,67
"192.168.1.177",56188,"108.156.15.108",80,13,767,11,0,0,7,383,6,384,3.054042,45.628651,67,67
"192.168.1.177",56153,"62.183.170.50",80,37,3515,12,0,0,19,1475,18,2040,3.333733,154.57814000000002,76,105
"162.254.198.44",27019,"192.168.1.177",52935,2341,243603,13,0,0,1173,162565,1168,81038,3.477186,6168.365548,210,105
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56237,"2600:1901:0:38d7::",80,1,86,14,0,0,1,86,0,0,3.875865,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56238,"2600:1901:0:38d7::",80,1,86,15,0,0,1,86,0,0,4.123814,0,"",""
"192.168.1.177",55872,"35.186.224.17",443,1492,351293,16,0,0,677,262896,815,88397,7.969457,2191.403152,959,322
"192.168.1.177",56138,"34.107.221.82",80,23,1372,17,0,0,12,658,11,714,8.85554,95.99603499999999,54,59
"192.168.1.177",56137,"34.107.221.82",80,23,1372,18,0,0,12,658,11,714,8.855545,95.99612200000001,54,59
"192.168.1.177",56183,"157.240.205.60",443,14,1014,19,0,0,8,573,6,441,12.166204,111.733586,41,31
"192.168.1.62",50496,"192.168.1.177",7680,8,531,20,0,0,5,357,3,174,13.955185,0.00802299999999967,355976,173501
"192.168.1.177",49717,"20.199.120.151",443,313,46393,21,0,0,208,22296,105,24097,16.563364,6125.640018,29,31
"192.168.1.177",55967,"35.186.224.25",443,6,410,22,0,0,3,163,3,247,18.31465,24.937314,52,79
"192.168.1.177",55968,"35.186.224.25",443,10,684,23,0,0,5,273,5,411,18.500137,119.93981099999999,18,27
"192.168.1.177",56195,"157.240.205.60",443,1122,124075,24,0,0,550,56410,572,67665,19.113042,5405.475445,83,100
"192.168.1.177",56247,"40.114.177.156",443,56,16767,25,0,0,24,2877,32,13890,20.706223,22.515532999999998,1022,4935
"192.168.1.177",55972,"35.186.224.17",443,9,629,26,0,0,4,218,5,411,20.869759,74.865152,23,43
"192.168.1.177",56248,"34.120.52.64",443,840,225957,27,0,0,291,41125,549,184832,21.098966,675.908107,486,2187
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56249,"2a00:1450:4026:808::2003",80,5,430,28,0,0,5,430,0,0,21.154297,15.043767000000003,228,0
"192.168.1.177",56250,"216.58.211.227",80,44,6061,29,0,0,23,2620,21,3441,21.452097,138.487521,151,198
"192.168.1.177",56148,"34.120.208.123",443,96,16478,30,0,0,44,11003,52,5475,21.912725000000002,376.057977,234,116
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56251,"2606:4700:20::681a:bf0",443,5,430,31,0,0,5,430,0,0,23.603301,15.043332000000003,228,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56252,"2001:67c:4e8:f004::9",443,2,172,32,0,0,2,172,0,0,23.768415,1.001771999999999,1373,0
"192.168.1.177",56253,"149.154.167.99",443,23,8582,33,0,0,11,1561,12,7021,24.035318,2.386201,5233,23538
"192.168.1.177",56254,"192.124.249.22",80,24,4441,34,0,0,12,1092,12,3349,24.155292,67.916099,128,394
"192.168.1.177",56256,"149.154.167.99",443,25,8690,35,0,0,12,1615,13,7075,24.815003,0.5163620000000009,25021,109613
