Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,AS Number,AS Organization
192.168.1.177,0,404509,1097708926,0,0,246978,279642821,157531,818066105,,,,
192.229.221.95,0,109,12729,0,0,50,7347,59,5382,,,,
35.186.224.17,0,8917,1828034,0,0,5162,970725,3755,857309,,,,
216.58.211.227,0,946,329912,0,0,529,262453,417,67459,,,,
62.183.170.50,0,370,36457,0,0,174,20849,196,15608,,,,
192.168.1.1,0,8922,2486884,0,0,7267,2352234,1655,134650,,,,
239.255.255.250,0,6288,2410461,0,0,0,0,6288,2410461,,,,
40.101.1.15,0,1,54,0,0,1,54,0,0,,,,
216.58.210.138,0,8723,35352010,0,0,5781,35118467,2942,233543,,,,
35.186.224.41,0,1620,117695,0,0,810,58140,810,59555,,,,
157.240.205.60,0,1557,199693,0,0,789,115801,768,83892,,,,
35.186.224.25,0,3895,813760,0,0,2096,380105,1799,433655,,,,
108.156.15.108,0,26,1534,0,0,12,768,14,766,,,,
162.254.198.44,0,2341,243603,0,0,1173,162565,1168,81038,,,,
34.107.221.82,0,119,8714,0,0,55,4240,64,4474,,,,
192.168.1.62,0,22198,1791720,0,0,21841,1771014,357,20706,,,,
224.0.0.251,0,8262,662282,0,0,0,0,8262,662282,,,,
224.0.0.252,0,7721,562669,0,0,0,0,7721,562669,,,,
192.168.1.255,0,6041,555739,0,0,0,0,6041,555739,,,,
20.199.120.151,0,313,46393,0,0,105,24097,208,22296,,,,
40.114.177.156,0,725,393455,0,0,427,353583,298,39872,,,,
34.120.52.64,0,5359,2236640,0,0,3368,1962339,1991,274301,,,,
34.120.208.123,0,741,150483,0,0,384,65359,357,85124,,,,
35.241.46.245,0,461,574046,0,0,424,566724,37,7322,,,,
192.168.1.210,0,169,21889,0,0,169,21889,0,0,,,,
149.154.167.99,0,21965,16176550,0,0,10992,13988456,10973,2188094,,,,
192.124.249.22,0,104,24286,0,0,52,18848,52,5438,,,,
224.0.0.22,0,435,25146,0,0,0,0,435,25146,,,,
