Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.177",56144,21,1251,0,0,11,603,10,648
"192.229.221.95",80,109,12729,0,0,50,7347,59,5382
"192.168.1.177",55971,5505,1122163,0,0,2152,343809,3353,778354
"35.186.224.17",443,8917,1828034,0,0,5162,970725,3755,857309
"192.168.1.177",56165,13,767,0,0,7,383,6,384
"216.58.211.227",80,229,29403,0,0,107,16499,122,12904
"192.168.1.177",56146,39,3636,0,0,20,1530,19,2106
"62.183.170.50",80,370,36457,0,0,174,20849,196,15608
"40.101.1.15",443,1,54,0,0,1,54,0,0
"192.168.1.177",56111,1,54,0,0,0,0,1,54
"216.58.210.138",443,8723,35352010,0,0,5781,35118467,2942,233543
"192.168.1.177",55945,1894,195976,0,0,782,72001,1112,123975
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56245,5,430,0,0,5,430,0,0
"2606:4700:20::ac43:4b27",443,5,430,0,0,0,0,5,430
"192.168.1.177",49819,800,56400,0,0,400,28600,400,27800
"35.186.224.41",443,1620,117695,0,0,810,58140,810,59555
"192.168.1.177",56214,20,2901,0,0,12,1277,8,1624
"157.240.205.60",443,1557,199693,0,0,789,115801,768,83892
"192.168.1.177",55686,196,52436,0,0,83,10074,113,42362
"35.186.224.25",443,3895,813760,0,0,2096,380105,1799,433655
"192.168.1.177",56186,13,767,0,0,7,383,6,384
"108.156.15.108",80,26,1534,0,0,12,768,14,766
"192.168.1.177",56188,13,767,0,0,7,383,6,384
"192.168.1.177",56153,37,3515,0,0,19,1475,18,2040
"162.254.198.44",27019,2341,243603,0,0,1173,162565,1168,81038
"192.168.1.177",52935,2341,243603,0,0,1168,81038,1173,162565
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56237,1,86,0,0,1,86,0,0
"2600:1901:0:38d7::",80,19,1634,0,0,0,0,19,1634
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56238,1,86,0,0,1,86,0,0
"192.168.1.177",55872,1492,351293,0,0,677,262896,815,88397
"192.168.1.177",56138,23,1372,0,0,12,658,11,714
"34.107.221.82",80,119,8714,0,0,55,4240,64,4474
"192.168.1.177",56137,23,1372,0,0,12,658,11,714
"192.168.1.177",56183,14,1014,0,0,8,573,6,441
"192.168.1.62",50496,8,531,0,0,5,357,3,174
"192.168.1.177",7680,952,63189,0,0,357,20706,595,42483
"192.168.1.177",49717,313,46393,0,0,208,22296,105,24097
"20.199.120.151",443,313,46393,0,0,105,24097,208,22296
"192.168.1.177",55967,6,410,0,0,3,163,3,247
"192.168.1.177",55968,10,684,0,0,5,273,5,411
"192.168.1.177",56195,1122,124075,0,0,550,56410,572,67665
"192.168.1.177",56247,56,16767,0,0,24,2877,32,13890
"40.114.177.156",443,725,393455,0,0,427,353583,298,39872
"192.168.1.177",55972,9,629,0,0,4,218,5,411
"192.168.1.177",56248,840,225957,0,0,291,41125,549,184832
"34.120.52.64",443,5359,2236640,0,0,3368,1962339,1991,274301
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56249,5,430,0,0,5,430,0,0
"2a00:1450:4026:808::2003",80,5,430,0,0,0,0,5,430
"192.168.1.177",56250,44,6061,0,0,23,2620,21,3441
"192.168.1.177",56148,96,16478,0,0,44,11003,52,5475
"34.120.208.123",443,741,150483,0,0,384,65359,357,85124
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56251,5,430,0,0,5,430,0,0
"2606:4700:20::681a:bf0",443,5,430,0,0,0,0,5,430
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56252,2,172,0,0,2,172,0,0
"2001:67c:4e8:f004::9",443,29,2494,0,0,0,0,29,2494
"192.168.1.177",56253,23,8582,0,0,11,1561,12,7021
"149.154.167.99",443,21965,16176550,0,0,10992,13988456,10973,2188094
"192.168.1.177",56254,24,4441,0,0,12,1092,12,3349
"192.124.249.22",80,104,24286,0,0,52,18848,52,5438
"192.168.1.177",56256,25,8690,0,0,12,1615,13,7075
"192.168.1.177",56257,910,1704468,0,0,310,38319,600,1666149
"192.168.1.177",56258,28,7702,0,0,14,1627,14,6075
"192.168.1.177",56259,28,7702,0,0,14,1627,14,6075
"192.168.1.177",56160,3775,2371687,0,0,1803,2181677,1972,190010
"35.186.227.140",443,10797,5796606,0,0,5779,564825,5018,5231781
"192.168.1.177",49861,820,61295,0,0,410,30955,410,30340
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56260,1,86,0,0,1,86,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56261,1,86,0,0,1,86,0,0
"192.168.1.177",56262,37,10109,0,0,19,2434,18,7675
"192.168.1.177",56263,39,10283,0,0,20,2500,19,7783
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56264,5,430,0,0,5,430,0,0
"192.168.1.177",56227,26,3918,0,0,14,1560,12,2358
"213.141.122.228",443,26,3918,0,0,12,2358,14,1560
"192.168.1.177",56265,22,8533,0,0,10,1512,12,7021
"192.168.1.177",49796,300,28191,0,0,183,19970,117,8221
"34.158.0.131",80,300,28191,0,0,117,8221,183,19970
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56267,5,430,0,0,5,430,0,0
"192.168.1.177",56268,13706,3589343,0,0,7114,1043271,6592,2546072
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56269,5,430,0,0,5,430,0,0
"192.168.1.177",56270,20,8437,0,0,10,1514,10,6923
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56273,5,430,0,0,5,430,0,0
"192.168.1.177",56274,22,8545,0,0,11,1568,11,6977
"192.168.1.177",56275,203,37669,0,0,83,12905,120,24764
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56276,1,86,0,0,1,86,0,0
"2a01:4f8:c010:1ef1::1",443,2,172,0,0,0,0,2,172
