Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.1",42224,6,2354,0,0,6,2354,0,0
"239.255.255.250",1900,6141,2307855,0,0,0,0,6141,2307855
"192.168.1.1",36806,2,884,0,0,2,884,0,0
"192.168.1.62",5353,7571,597506,0,0,7571,597506,0,0
"224.0.0.251",5353,8100,654326,0,0,0,0,8100,654326
"fe80::f17b:6c72:fea6:5dc5",5353,7684,760095,0,0,7684,760095,0,0
"ff02::fb",5353,8222,826778,0,0,0,0,8222,826778
"fe80::f17b:6c72:fea6:5dc5",57859,6,558,0,0,6,558,0,0
"ff02::1:3",5355,7660,711548,0,0,0,0,7660,711548
"192.168.1.62",57859,6,438,0,0,6,438,0,0
"224.0.0.252",5355,7715,562369,0,0,0,0,7715,562369
"fe80::f17b:6c72:fea6:5dc5",62935,2,186,0,0,2,186,0,0
"192.168.1.62",62935,2,146,0,0,2,146,0,0
"192.168.1.177",57621,232,19952,0,0,232,19952,0,0
"192.168.1.255",57621,232,19952,0,0,0,0,232,19952
"192.168.1.62",137,5800,533600,0,0,5800,533600,0,0
"192.168.1.255",137,5800,533600,0,0,0,0,5800,533600
"fe80::f17b:6c72:fea6:5dc5",59024,4,372,0,0,4,372,0,0
"192.168.1.62",59024,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",54119,2,186,0,0,2,186,0,0
"192.168.1.62",54119,2,146,0,0,2,146,0,0
"192.168.1.1",38723,6,2354,0,0,6,2354,0,0
"192.168.1.1",37011,2,884,0,0,2,884,0,0
"fe80::f17b:6c72:fea6:5dc5",58711,2,186,0,0,2,186,0,0
"192.168.1.62",58711,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",61044,6,558,0,0,6,558,0,0
"192.168.1.62",61044,6,438,0,0,6,438,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",62383,1,94,0,0,1,94,0,0
"2001:14b8:1000::1",53,1031,106880,0,0,0,0,1031,106880
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",58188,1,94,0,0,1,94,0,0
"192.168.1.177",62383,2,164,0,0,1,74,1,90
"192.168.1.1",53,3127,327671,0,0,1561,198577,1566,129094
"192.168.1.177",58188,2,213,0,0,1,74,1,139
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56217,1,94,0,0,1,94,0,0
"192.168.1.177",56217,2,164,0,0,1,74,1,90
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",53664,1,94,0,0,1,94,0,0
"192.168.1.177",53664,2,148,0,0,1,74,1,74
"192.168.1.1",60382,7,2446,0,0,7,2446,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",55074,1,96,0,0,1,96,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",57343,1,96,0,0,1,96,0,0
"192.168.1.177",57343,2,210,0,0,1,76,1,134
"192.168.1.177",55074,2,186,0,0,1,76,1,110
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59772,1,96,0,0,1,96,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",62543,1,93,0,0,1,93,0,0
"192.168.1.177",59772,2,168,0,0,1,76,1,92
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",60896,1,96,0,0,1,96,0,0
"192.168.1.177",62543,2,197,0,0,1,73,1,124
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",51817,1,101,0,0,1,101,0,0
"192.168.1.177",51817,2,178,0,0,1,81,1,97
"192.168.1.177",60896,2,210,0,0,1,76,1,134
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",49554,1,93,0,0,1,93,0,0
"192.168.1.177",49554,2,197,0,0,1,73,1,124
"192.168.1.1",36821,2,884,0,0,2,884,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56467,2,199,0,0,2,199,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59398,1,96,0,0,1,96,0,0
"192.168.1.177",59398,2,210,0,0,1,76,1,134
"192.168.1.177",56467,4,362,0,0,2,159,2,203
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",64670,1,96,0,0,1,96,0,0
"192.168.1.177",64670,2,168,0,0,1,76,1,92
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",54940,1,96,0,0,1,96,0,0
"192.168.1.177",54940,2,152,0,0,1,76,1,76
"192.168.1.177",54941,449,569508,0,0,31,5109,418,564399
"35.241.46.245",443,461,574046,0,0,424,566724,37,7322
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",50060,2,199,0,0,2,199,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",61155,1,96,0,0,1,96,0,0
"192.168.1.177",50060,4,362,0,0,2,159,2,203
"192.168.1.177",61155,2,213,0,0,1,76,1,137
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",49205,1,96,0,0,1,96,0,0
"192.168.1.177",49205,2,168,0,0,1,76,1,92
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",57576,1,96,0,0,1,96,0,0
"192.168.1.177",57576,2,152,0,0,1,76,1,76
"fe80::f17b:6c72:fea6:5dc5",49724,6,558,0,0,6,558,0,0
"192.168.1.62",49724,6,438,0,0,6,438,0,0
"fe80::f17b:6c72:fea6:5dc5",55327,2,186,0,0,2,186,0,0
"192.168.1.62",55327,2,146,0,0,2,146,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",53528,1,96,0,0,1,96,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56656,1,96,0,0,1,96,0,0
"192.168.1.177",56656,2,180,0,0,1,76,1,104
"192.168.1.177",53528,2,168,0,0,1,76,1,92
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",57126,1,96,0,0,1,96,0,0
"192.168.1.177",57126,2,168,0,0,1,76,1,92
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",54718,1,96,0,0,1,96,0,0
"192.168.1.177",54718,2,180,0,0,1,76,1,104
"192.168.1.210",5353,133,20233,0,0,133,20233,0,0
"fe80::1082:713d:3d2c:a607",5353,133,22893,0,0,133,22893,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59145,1,96,0,0,1,96,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56337,1,96,0,0,1,96,0,0
"192.168.1.177",59145,2,273,0,0,1,76,1,197
"192.168.1.177",56337,2,256,0,0,1,76,1,180
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",61697,1,107,0,0,1,107,0,0
"192.168.1.177",61697,2,254,0,0,1,87,1,167
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",61014,1,107,0,0,1,107,0,0
"192.168.1.177",61014,2,174,0,0,1,87,1,87
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",63793,1,96,0,0,1,96,0,0
"192.168.1.177",63793,2,273,0,0,1,76,1,197
"fe80::f17b:6c72:fea6:5dc5",49159,4,372,0,0,4,372,0,0
"192.168.1.62",49159,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",62715,6,558,0,0,6,558,0,0
"192.168.1.62",62715,6,438,0,0,6,438,0,0
"192.168.1.177",63794,4,848,0,0,4,848,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",52534,1,84,0,0,1,84,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",49548,1,84,0,0,1,84,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",52831,1,91,0,0,1,91,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",49647,1,91,0,0,1,91,0,0
"192.168.1.177",52534,2,144,0,0,1,64,1,80
"192.168.1.177",49548,2,156,0,0,1,64,1,92
"192.168.1.177",52831,2,158,0,0,1,71,1,87
"192.168.1.177",49647,2,170,0,0,1,71,1,99
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",50176,1,84,0,0,1,84,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",58152,1,91,0,0,1,91,0,0
"fe80::f17b:6c72:fea6:5dc5",51878,2,186,0,0,2,186,0,0
"192.168.1.62",51878,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",59363,4,360,0,0,4,360,0,0
"192.168.1.62",59363,4,280,0,0,4,280,0,0
"192.168.1.177",50176,2,144,0,0,1,64,1,80
"192.168.1.177",58152,2,158,0,0,1,71,1,87
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59500,1,84,0,0,1,84,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59501,1,91,0,0,1,91,0,0
"192.168.1.177",59500,2,156,0,0,1,64,1,92
"192.168.1.177",59501,2,170,0,0,1,71,1,99
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",61741,1,101,0,0,1,101,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56292,1,101,0,0,1,101,0,0
"192.168.1.177",61741,2,178,0,0,1,81,1,97
"192.168.1.177",56292,2,190,0,0,1,81,1,109
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",65344,1,101,0,0,1,101,0,0
"192.168.1.177",65344,2,178,0,0,1,81,1,97
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59375,1,101,0,0,1,101,0,0
"192.168.1.177",59375,2,190,0,0,1,81,1,109
"192.168.1.177",5353,291,25772,0,0,291,25772,0,0
"fe80::3c64:85d8:f884:544c",5353,405,43790,0,0,405,43790,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",52743,1,89,0,0,1,89,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",52874,1,89,0,0,1,89,0,0
"fe80::f17b:6c72:fea6:5dc5",59961,2,186,0,0,2,186,0,0
"192.168.1.62",59961,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",62386,2,186,0,0,2,186,0,0
"192.168.1.62",62386,2,146,0,0,2,146,0,0
"192.168.1.177",52743,2,154,0,0,1,69,1,85
"192.168.1.177",52874,2,138,0,0,1,69,1,69
"192.168.1.177",53422,2,182,0,0,1,83,1,99
"192.168.1.177",50917,4,453,0,0,2,161,2,292
"192.168.1.177",60545,2,182,0,0,1,83,1,99
"192.168.1.177",50114,4,392,0,0,2,168,2,224
"192.168.1.1",35165,6,2354,0,0,6,2354,0,0
"192.168.1.1",37183,2,884,0,0,2,884,0,0
"fe80::f17b:6c72:fea6:5dc5",58195,3,279,0,0,3,279,0,0
"192.168.1.62",58195,3,219,0,0,3,219,0,0
"fe80::f17b:6c72:fea6:5dc5",63298,3,279,0,0,3,279,0,0
"192.168.1.62",63298,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",50152,4,372,0,0,4,372,0,0
"192.168.1.62",50152,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",56063,4,372,0,0,4,372,0,0
"192.168.1.62",56063,4,292,0,0,4,292,0,0
"192.168.1.177",58251,2,154,0,0,1,69,1,85
"192.168.1.177",61614,2,138,0,0,1,69,1,69
"192.168.1.177",49605,2,182,0,0,1,83,1,99
"192.168.1.177",58471,2,194,0,0,1,83,1,111
"192.168.1.177",51606,2,182,0,0,1,83,1,99
"192.168.1.177",54223,2,194,0,0,1,83,1,111
"192.168.1.1",53338,6,2354,0,0,6,2354,0,0
"192.168.1.177",51118,2,182,0,0,1,76,1,106
"192.168.1.177",51061,2,182,0,0,1,76,1,106
"192.168.1.177",57837,2,152,0,0,1,76,1,76
"192.168.1.177",50716,2,198,0,0,1,76,1,122
"192.168.1.1",38006,2,884,0,0,2,884,0,0
