time,Query time(msec)
2022-11-13 11:48:00,28
2022-11-13 12:48:00,28
2022-11-13 13:48:00,28
2022-11-13 14:48:00,28
2022-11-13 15:48:00,28
2022-11-13 16:48:00,32
2022-11-13 17:48:00,28
2022-11-13 18:48:00,28
2022-11-13 19:48:00,32
2022-11-13 20:48:00,32
2022-11-13 21:48:00,28
2022-11-13 22:48:00,32
2022-11-13 23:48:00,28
2022-11-14 00:48:00,32
2022-11-14 01:48:00,32
2022-11-14 02:48:00,32
2022-11-14 03:48:00,32
2022-11-14 04:48:00,32
2022-11-14 05:48:00,32
2022-11-14 06:48:00,28
2022-11-14 07:48:00,28
2022-11-14 08:48:00,28
2022-11-14 09:48:00,32
2022-11-14 10:48:00,32
2022-11-14 11:48:00,28
2022-11-14 12:48:00,32
2022-11-14 13:48:00,28
2022-11-14 14:48:00,32
2022-11-14 15:48:00,32
2022-11-14 16:48:00,28
2022-11-14 17:48:00,28
2022-11-14 18:48:00,32
2022-11-14 19:48:00,192
2022-11-14 20:48:00,32
2022-11-14 21:48:00,32
2022-11-14 22:48:00,32
2022-11-14 23:48:00,28
2022-11-15 00:48:00,28
2022-11-15 01:48:00,32
2022-11-15 02:48:00,28
2022-11-15 03:48:00,28
2022-11-15 04:48:00,32
2022-11-15 05:48:00,32
2022-11-15 06:48:00,32
2022-11-15 07:48:00,32
2022-11-15 08:48:00,32
2022-11-15 09:48:00,36
2022-11-15 10:48:00,32
2022-11-15 11:48:00,28
2022-11-15 12:48:00,28
2022-11-15 13:48:00,32
2022-11-15 14:48:00,32
2022-11-15 15:48:00,28
2022-11-15 16:48:00,32
2022-11-15 17:48:00,28
2022-11-15 18:48:00,28
2022-11-15 19:48:00,28
2022-11-15 20:48:00,32
2022-11-15 21:48:00,32
2022-11-15 22:48:00,32
2022-11-15 23:48:00,28
2022-11-16 00:48:00,36
2022-11-16 01:48:00,40
2022-11-16 02:48:00,32
2022-11-16 03:48:00,28
2022-11-16 04:48:00,32
2022-11-16 05:48:00,28
2022-11-16 06:48:00,28
2022-11-16 07:48:00,28
2022-11-16 08:48:00,28
2022-11-16 09:48:00,32
2022-11-16 10:48:00,32
2022-11-16 11:48:00,28
2022-11-16 12:48:00,32
2022-11-16 13:48:00,28
2022-11-16 14:48:00,28
2022-11-16 15:48:00,32
2022-11-16 16:48:00,32
2022-11-16 17:48:00,28
2022-11-16 18:48:00,32
2022-11-16 19:48:00,32
2022-11-16 20:48:00,28
2022-11-16 21:48:00,28
2022-11-16 22:48:00,28
2022-11-16 23:48:00,32
2022-11-17 00:48:00,32
2022-11-17 01:48:00,32
2022-11-17 02:48:00,32
2022-11-17 03:48:00,32
2022-11-17 04:48:00,32
2022-11-17 05:48:00,32
2022-11-17 06:48:00,32
2022-11-17 07:48:00,32
2022-11-17 08:48:00,32
2022-11-17 09:48:00,28
2022-11-17 10:48:00,32
2022-11-17 11:48:00,32
2022-11-17 12:48:00,416
2022-11-17 13:48:00,28
2022-11-17 14:48:00,28
2022-11-17 15:48:00,32
2022-11-17 16:48:00,32
2022-11-17 17:48:00,28
2022-11-17 18:48:00,44
2022-11-17 19:48:00,32
2022-11-17 20:48:00,28
2022-11-17 21:48:00,32
2022-11-17 22:48:00,32
2022-11-17 23:48:00,32
2022-11-18 00:48:00,32
2022-11-18 01:48:00,28
2022-11-18 02:48:00,32
2022-11-18 03:48:00,32
2022-11-18 04:48:00,32
2022-11-18 05:48:00,32
2022-11-18 06:48:00,28
2022-11-18 07:48:00,32
2022-11-18 08:48:00,28
2022-11-18 09:48:00,28
2022-11-18 10:48:00,28
2022-11-18 11:48:00,32
2022-11-18 12:48:00,32
2022-11-18 13:48:00,28
2022-11-18 14:48:00,32
2022-11-18 15:48:00,32
2022-11-18 16:48:00,28
2022-11-18 17:48:00,32
2022-11-18 18:48:00,28
2022-11-18 19:48:00,32
2022-11-18 20:48:00,32
2022-11-18 21:48:00,28
2022-11-18 22:48:00,28
2022-11-18 23:48:00,32
2022-11-19 00:48:00,32
2022-11-19 01:48:00,28
2022-11-19 02:48:00,32
2022-11-19 03:48:00,28
2022-11-19 04:48:00,32
2022-11-19 05:48:00,28
2022-11-19 06:48:00,32
2022-11-19 07:48:00,28
2022-11-19 08:48:00,28
2022-11-19 09:48:00,32
2022-11-19 10:48:00,28
2022-11-19 11:48:00,28
2022-11-19 12:48:00,40
2022-11-19 13:48:00,32
2022-11-19 14:48:00,32
2022-11-19 15:48:00,28
2022-11-19 16:48:00,28
2022-11-19 17:48:00,32
2022-11-19 18:48:00,320
2022-11-19 19:48:00,28
2022-11-19 20:48:00,28
2022-11-19 21:48:00,32
2022-11-19 22:48:00,28
2022-11-19 23:48:00,32
2022-11-20 00:48:00,32
2022-11-20 01:48:00,32
2022-11-20 02:48:00,28
2022-11-20 03:48:00,32
2022-11-20 04:48:00,32
2022-11-20 05:48:00,32
2022-11-20 06:48:00,32
2022-11-20 07:48:00,32
2022-11-20 08:48:00,28
2022-11-20 09:48:00,32
2022-11-20 10:48:00,32
2022-11-20 11:48:00,28
2022-11-20 12:48:00,32
2022-11-20 13:48:00,32
2022-11-20 14:48:00,28
2022-11-20 15:48:00,28
2022-11-20 16:48:00,32
2022-11-20 17:48:00,28
2022-11-20 18:48:00,32
2022-11-20 19:48:00,28
2022-11-20 20:48:00,32
2022-11-20 21:48:00,28
2022-11-20 22:48:00,28
2022-11-20 23:48:00,40
2022-11-21 00:48:00,28
2022-11-21 01:48:00,28
2022-11-21 02:48:00,32
2022-11-21 03:48:00,32
2022-11-21 04:48:00,48
2022-11-21 05:48:00,32
2022-11-21 06:48:00,32
2022-11-21 07:48:00,28
2022-11-21 08:48:00,388
2022-11-21 09:48:00,28
2022-11-21 10:48:00,28
2022-11-21 11:48:00,28
2022-11-21 12:48:00,32
2022-11-21 13:48:00,32
2022-11-21 14:48:00,32
2022-11-21 15:48:00,28
2022-11-21 16:48:00,28
2022-11-21 17:48:00,28
2022-11-21 18:48:00,28
2022-11-21 19:48:00,32
2022-11-21 20:48:00,32
2022-11-21 21:48:00,28
2022-11-21 22:48:00,28
2022-11-21 23:48:00,32
2022-11-22 00:48:00,32
2022-11-22 01:48:00,28
2022-11-22 02:48:00,32
2022-11-22 03:48:00,28
2022-11-22 04:48:00,28
2022-11-22 05:48:00,32
2022-11-22 06:48:00,28
2022-11-22 07:48:00,32
2022-11-22 08:48:00,32
2022-11-22 09:48:00,32
2022-11-22 10:48:00,28
2022-11-22 11:48:00,32
2022-11-22 12:48:00,36
2022-11-22 13:48:00,32
2022-11-22 14:48:00,28
2022-11-22 15:48:00,32
2022-11-22 16:48:00,28
2022-11-22 17:48:00,32
2022-11-22 18:48:00,28
2022-11-22 19:48:00,28
2022-11-22 20:48:00,32
2022-11-22 21:48:00,32
2022-11-22 22:48:00,32
2022-11-22 23:48:00,28
2022-11-23 00:48:00,28
2022-11-23 01:48:00,32
2022-11-23 02:48:00,28
2022-11-23 03:48:00,28
2022-11-23 04:48:00,28
2022-11-23 05:48:00,32
2022-11-23 06:48:00,32
2022-11-23 07:48:00,32
2022-11-23 08:48:00,32
2022-11-23 09:48:00,36
2022-11-23 10:48:00,28
2022-11-23 11:48:00,28
2022-11-23 12:48:00,32
2022-11-23 13:48:00,28
2022-11-23 14:48:00,28
2022-11-23 15:48:00,28
2022-11-23 16:48:00,32
2022-11-23 17:48:00,32
2022-11-23 18:48:00,28
2022-11-23 19:48:00,28
2022-11-23 20:48:00,28
2022-11-23 21:48:00,28
2022-11-23 22:48:00,28
2022-11-23 23:48:00,48
2022-11-24 00:48:00,32
2022-11-24 01:48:00,28
2022-11-24 02:48:00,32
2022-11-24 03:48:00,28
2022-11-24 04:48:00,28
2022-11-24 05:48:00,28
2022-11-24 06:48:00,32
2022-11-24 07:48:00,28
2022-11-24 08:48:00,32
2022-11-24 09:48:00,28
2022-11-24 10:48:00,32
2022-11-24 11:48:00,28
2022-11-24 12:48:00,28
2022-11-24 13:48:00,28
2022-11-24 14:48:00,28
2022-11-24 15:48:00,32
2022-11-24 16:48:00,32
2022-11-24 17:48:00,32
2022-11-24 18:48:00,32
2022-11-24 19:48:00,32
2022-11-24 20:48:00,32
2022-11-24 21:48:00,32
2022-11-24 22:48:00,28
2022-11-24 23:48:00,28
2022-11-25 00:48:00,32
2022-11-25 01:48:00,32
2022-11-25 02:48:00,28
2022-11-25 03:48:00,28
2022-11-25 04:48:00,28
2022-11-25 05:48:00,28
2022-11-25 06:48:00,32
2022-11-25 07:48:00,28
2022-11-25 08:48:00,32
2022-11-25 09:48:00,28
2022-11-25 10:48:00,32
2022-11-25 11:48:00,28
2022-11-25 12:48:00,32
2022-11-25 13:48:00,32
2022-11-25 14:48:00,28
2022-11-25 15:48:00,28
2022-11-25 16:48:00,32
2022-11-25 17:48:00,32
2022-11-25 18:48:00,32
2022-11-25 19:48:00,32
2022-11-25 20:48:00,32
2022-11-25 21:48:00,28
2022-11-25 22:48:00,28
