srcip,srcport,dstip,dstport,proto,duration
130.233.145.193,50110.0,130.233.251.6,53.0,17.0,588979108.0
130.233.145.193,0.0,54.250.239.227,19704.0,1.0,0.0
130.233.226.86,58290.0,,10050.0,6.0,2391.0
130.233.145.193,39166.0,,443.0,6.0,116039273.0
130.233.145.193,52148.0,130.233.227.16,111.0,17.0,520.0
130.233.145.193,48832.0,172.217.20.34,,6.0,5859011.0
130.233.226.86,54936.0,130.233.145.193,10050.0,6.0,1874.0
130.233.145.193,0.0,130.233.226.86,,1.0,0.0
130.233.145.193,45616.0,,10051.0,6.0,3769.0
130.233.145.193,59120.0,130.233.226.86,10051.0,6.0,1285.0
130.233.145.193,0.0,3.112.210.255,4484.0,1.0,0.0
130.233.145.193,44946.0,130.233.226.86,10051.0,6.0,13276.0
130.233.145.193,53294.0,52.114.76.35,443.0,6.0,22538992.0
,2048.0,130.233.145.193,27072.0,1.0,0.0
130.233.145.193,50190.0,13.33.44.248,443.0,6.0,116086979.0
130.233.145.115,138.0,130.233.145.255,138.0,17.0,
13.234.235.84,2048.0,130.233.145.193,1103.0,1.0,0.0
130.233.145.9,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.162,138.0,,,17.0,0.0
130.233.145.10,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,55468.0,104.244.42.200,443.0,6.0,170275800.0
130.233.226.86,,130.233.145.193,4898.0,1.0,0.0
130.233.145.10,138.0,130.233.145.255,138.0,,0.0
130.233.145.193,45334.0,147.75.102.200,443.0,6.0,170732151.0
,58516.0,130.233.145.193,10050.0,6.0,2535.0
13.231.192.230,2048.0,130.233.145.193,40972.0,1.0,0.0
130.233.145.193,46666.0,208.123.73.73,443.0,6.0,72068197.0
130.233.226.86,53466.0,130.233.145.193,10050.0,6.0,1018.0
130.233.145.193,,23.42.152.238,443.0,6.0,115343533.0
130.233.226.86,2048.0,130.233.145.193,44235.0,1.0,0.0
